blocksize,constant,dilate_iter,dilate_kernel,erode_iter,erode_kernel,scanned,thresh_type,width,word count
51,10,2,3,1,3,False,mean,400,36
51,10,1,3,1,3,False,mean,500,36
151,10,2,3,1,3,False,mean,500,36
151,1,1,3,1,3,False,mean,500,37
51,10,2,3,2,3,False,mean,500,37
51,10,2,3,2,3,False,mean,500,38
151,1,1,3,1,3,False,mean,500,39
51,10,1,3,2,3,False,mean,500,40
51,10,1,3,1,3,False,mean,500,41
151,10,1,3,1,3,False,mean,500,41
151,1,2,3,2,3,False,mean,500,41
151,10,1,3,1,3,False,mean,500,41
51,10,2,3,1,3,False,mean,500,42
151,10,2,3,1,3,False,mean,500,42
151,10,2,3,2,3,False,mean,500,49
